day,W=14|q=0.2,W=14|q=0.3,W=28|q=0.2,W=28|q=0.3
2024-04-10,-0.013292910425426846,-0.008099074301014312,-0.012748969041542409,-0.012941102263495763
2024-04-11,0.008909334168071768,0.0014465013885447374,0.008042002231697138,0.0016801133745516501
2024-04-12,-0.01429981852768706,-0.011444620076403178,-0.012956395364882132,-0.014221316394463314
2024-04-13,-0.005733592593391902,-0.005597765243788367,-0.005132038286720268,-0.0041137410955268666
2024-04-14,0.012586812467072618,0.007376906591579784,0.011321492247208942,0.005021037716667192
2024-04-15,0.0004977641021596377,0.0007071545361821283,0.00044824394220538064,0.0010770233027011982
2024-04-16,0.004528130217825377,0.009698016387748067,0.004036941523347205,0.004895010750300983
2024-04-17,0.0020446880344908596,-0.001944439595665287,0.0015180689994526903,-0.0017983492996779123
2024-04-18,-0.0066465519725111815,0.0038543079961960484,-0.003950890864859751,0.0035227458015738
2024-04-19,-0.0040317629631873905,0.0014007717403780153,-0.0032743309004412626,0.0012586606700692381
2024-04-20,0.018081143277505526,0.010906567543346582,0.013738256814502022,0.009843704862890146
2024-04-21,-0.003255961881503232,-0.0035917075650066395,-0.00038485965666846796,-0.0032342939808689916
2024-04-22,0.004522296040468767,-0.0057904065996081415,0.002455437353204662,-0.005248083471316671
2024-04-23,0.08010709893419735,0.05408607152226043,0.07469006780027303,0.049088100064792216
2024-04-24,-0.006764092334241515,-0.008317598007804771,-0.002277262180151317,-0.0046105014968354854
2024-04-25,-0.0029956007340342125,-0.004181881974835392,-0.002187225827889996,-0.004198784587224102
2024-04-26,-0.0011643933771335114,-0.007731590758936942,-0.002456190152853751,-0.007666770097848268
2024-04-27,-0.0013694848482356233,0.006319653235388937,-0.0005508906839798294,0.004783319955910071
2024-04-28,-0.003007856148284021,-0.0004304345651127467,-0.0015752685576953386,-0.001081302001311947
2024-04-29,0.0015201087633109104,-0.00040117554147234855,0.00038271165776898966,2.201386248247905e-05
2024-04-30,-0.0033729907483976687,-0.0016538317412365113,-0.0031048857998023428,-0.0011805202718538875
2024-05-01,0.011811371267845858,0.0077830401693734595,0.01165962356876547,0.007784104457161912
2024-05-02,-0.00027412233142222247,0.0028444340509496298,-0.0002716395417530686,0.0031877819871478467
2024-05-03,-0.003582956938006849,-0.005732806693957482,-0.00354827531714329,-0.002884040886653742
2024-05-04,-0.00926475342805093,-0.013325344415492947,-0.009175055758378738,-0.011415750804677114
2024-05-05,0.006109674244244579,0.00888356580428173,0.0060490850675148575,0.008179854660230822
2024-05-06,-0.0011154928602966087,-0.0016051730796152323,-0.001104418493254031,-0.0029983823573001
2024-05-07,0.000980579557476199,0.0027326310869225817,0.0009712086743907432,0.0006800540461959318
2024-05-08,0.005370419694865454,0.006605143538529535,0.006519358534325416,0.006558941013420218
2024-05-09,-0.0030485702389881227,-0.00023565295190813021,-0.004362510826079567,-0.0002320476648137394
2024-05-10,0.00044915690105476735,0.0070985832973843085,0.00018677834434501295,0.007163384761801353
2024-05-11,-0.005021364657213823,-0.00386541793993655,-0.003422401359361366,-0.0039061143092724887
2024-05-12,-8.718556382764931e-05,0.001955929919765911,0.001605010543513426,0.0020172237201788418
2024-05-13,-0.003685719944941202,-0.008204274406320234,-0.006242507573220678,-0.008482466541769734
2024-05-14,0.0007672960528835022,0.002074252592446283,0.001385099496795892,0.002140936039647373
2024-05-15,0.001164013588700815,-0.0039020391245405774,-0.0006359186182905091,-0.0022067373592066153
2024-05-16,0.0016314244786537872,0.004169411381122519,0.003378392036534802,0.004477187215826573
2024-05-17,-0.006064737077884679,-0.009065077372488716,-0.007378503154856178,-0.0035952585565303696
2024-05-18,-0.000580402734718481,-0.00124636045635488,0.0001688256446763356,0.0013387641791221248
2024-05-19,-0.0045486175332755405,-0.004018090880023899,-0.00424591283985899,-0.0057081944524135
2024-05-20,-0.002845985838051616,-0.008788791714848181,-0.006000580426078149,-0.007452578658418345
