enter_term_sys1,enter_term_sys2,leave_term_sys1,leave_term_sys2,win_rate,profit_loss_ratio,expectancy,mdd,final_whole_asset,positive_rate,median_asset,mean_asset,s1_return_median,s1_return_mean,s2_return_median,s2_return_mean,s1_max_consec_win,s1_max_consec_loss,s2_max_consec_win,s2_max_consec_loss,overall_max_consec_win,overall_max_consec_loss,final_win_count,final_loss_count,min_equity,min_realized_pnl,final_equity
18,55,11,20,0.2962962962962963,4.0568369940515785,99.0312682925933,-0.21584574215353716,2673.8442439000173,0.9365256124721604,2952.2833676700175,2686.127564653081,-0.04307668585564742,0.0013331100350422423,-0.029190956629576166,-0.0023520317765753887,2,7,1,4,3,8,8,19,9985.478109759999,0.0,12673.844243900015
18,55,12,20,0.2962962962962963,3.8986531767974397,91.10492891703774,-0.22349208956325398,2459.8330807600178,0.9365256124721604,2768.2277295300178,2607.952415304128,-0.04589516586222804,-0.0018663846403251928,-0.029190956629576166,0.003313638159219673,2,7,1,4,2,8,8,19,9985.478109759999,0.0,12459.83308076002
18,55,13,20,0.2962962962962963,3.902282538500938,91.2370070459267,-0.22207562529744596,2463.3991902400176,0.9365256124721604,2771.7938390100176,2599.586914580253,-0.04172441966831363,-0.0013808176786362122,-0.029190956629576166,0.003313638159219673,2,7,1,4,2,8,8,19,9985.478109759999,0.0,12463.399190240018
18,55,14,20,0.2962962962962963,3.878352742004333,93.68739044148228,-0.22678496601326317,2529.559541920018,0.9365256124721604,2813.435996325009,2741.9408893043296,-0.05130260303100712,0.0003747899699649436,-0.029190956629576166,0.00005831960309348985,2,7,1,4,2,8,8,19,9985.478109759999,0.0,12529.559541920016
18,55,15,20,0.3333333333333333,3.2858753249476065,90.40074804259334,-0.22929714360509806,2440.820197150017,0.9365256124721604,2791.6629274950083,2740.4162590659425,-0.05130260303100712,-0.0058043397530908964,-0.008927092747367749,0.017073248203930094,2,7,2,3,2,7,9,18,9985.478109759999,0.0,12440.820197150017
18,55,16,20,0.3333333333333333,3.334281499567599,91.76891680037113,-0.22831040744060316,2477.7607536100163,0.9365256124721604,2832.4758440300157,2788.8846157786597,-0.05130260303100712,-0.004560599364185717,-0.005978166280056985,0.017400906700297956,2,7,2,3,2,7,9,18,9985.478109759999,0.0,12477.760753610015
18,55,17,20,0.34615384615384615,2.8599775361071087,80.79121209269297,-0.2455351197284847,2100.5715144100154,0.9287305122494433,2641.2125148300147,2510.9625284440717,-0.060528497940449705,-0.006875357684594435,-0.019579434762151685,0.029779657674468323,2,6,2,4,2,6,9,17,9943.299752330004,-2.497619889996713,12100.571514410018
19,55,5,20,0.3333333333333333,3.0011561323712583,53.27353981303101,-0.21912377980423,1758.0268138300225,0.9365256124721604,2387.5833996700117,2201.156237984698,-0.025292519011674754,-0.00839046941034158,-0.029495872997159188,-0.0011402162261512194,3,6,1,5,4,6,11,22,9985.478109759999,0.0,11758.026813830025
19,55,6,20,0.3,3.604147214810301,69.83068481533405,-0.2077817088194346,2094.9205444600193,0.9365256124721604,2682.6672944100187,2502.289545313393,-0.029730825845528382,-0.004426915331876959,-0.025811042750071993,0.004057113438666906,2,7,1,4,3,8,9,21,9985.478109759999,0.0,12094.920544460021
19,55,7,20,0.27586206896551724,3.9373768699161045,66.12921948275925,-0.2239454184264381,1917.7473650000165,0.9365256124721604,2549.3627623050083,2492.8571530593376,-0.02799574042024116,-0.0005650269042317274,-0.029190956629576166,0.0023416850736722233,2,7,1,4,3,8,8,21,9985.478109759999,0.0,11917.747365000025
19,55,8,20,0.2962962962962963,3.954477973128699,90.98348792370442,-0.22782452656217092,2456.5541739400187,0.9365256124721604,2703.3956576950086,2588.311813043136,-0.03231395238298437,-0.012096342060981946,-0.029190956629576166,0.01050925843601984,2,7,1,4,3,8,8,19,9985.478109759999,0.0,12456.554173940021
19,55,9,20,0.25925925925925924,4.88410949392545,97.01929455370453,-0.2248881082249432,2619.520952950021,0.9365256124721604,2832.32964104002,2701.5339657906434,-0.03231395238298437,0.006096506485334697,-0.029190956629576166,-0.006698044000432214,2,7,1,6,2,8,7,20,9985.478109759999,0.0,12619.520952950024
19,55,10,20,0.25925925925925924,4.953281704313027,100.33017246000077,-0.22361787051604803,2708.9146564200205,0.9365256124721604,2921.723344510019,2784.7238490000523,-0.03231395238298437,0.009163399983017326,-0.029190956629576166,-0.008777522686102497,2,7,1,6,2,8,7,20,9985.478109759999,0.0,12708.914656420024
19,55,11,20,0.2962962962962963,3.891595374490755,89.30137935703769,-0.22661605798724713,2411.1372426400176,0.9365256124721604,2725.1453216850086,2563.899181916199,-0.04307668585564742,-0.0007096048430126684,-0.029190956629576166,-0.0023520317765753887,2,7,1,4,3,8,8,19,9985.478109759999,0.0,12411.137242640021
