date,regime,ivp,z,dvol,covered_call,short_strangle_ps,long_straddle
2024-08-15,NORMAL,71.86,-2.119,66.73,0.024713988229838516,0.0443321645737118,-0.0807774451807197
2024-08-16,NORMAL,65.57,-2.108,64.67,0.0240171808419871,0.03222644147478573,-0.029246699890988603
2024-08-17,NORMAL,65.3,-2.04,64.66,0.024013788799305547,0.028995919472599947,-0.02564754831037011
2024-08-18,NORMAL,71.86,-1.861,66.78,0.024730852824483923,0.04036191870855795,-0.038499732656204766
2024-08-19,NORMAL,63.66,-1.971,64.4,0.023925563441277612,0.04278435892159497,-0.057289086839023035
2024-08-20,NORMAL,66.39,-1.896,64.91,0.024098562320581926,0.0431230716769636,-0.14045372603579787
2024-08-21,NORMAL,60.66,-1.743,63.55,0.02363670037929373,0.042219929138866984,-0.12105795573199121
2024-08-22,NORMAL,54.37,-1.756,62.24,0.0231902060228403,0.04135025724781732,-0.11813581974060115
2024-08-23,NORMAL,56.28,-1.751,62.66,0.023333529694663895,0.04162905593084726,-0.10794267782846684
2024-08-24,NORMAL,55.19,-1.72,62.54,0.02329259673734594,0.04154939657115419,-0.11307994038970993
2024-08-25,NORMAL,54.1,-1.612,62.35,0.02322775896235191,0.04142327350274118,-0.10701803913760212
2024-08-26,NORMAL,46.99,-1.646,61.04,0.022779808377113592,0.04055382579476875,-0.12417878317458045
2024-08-27,NORMAL,63.11,-1.696,64.29,0.023888218623055804,0.042711308692218855,-0.07105055310256228
2024-08-28,NORMAL,56.01,-1.771,62.68,0.023340350558876323,0.041642332694095285,-0.10113146973161036
2024-08-29,NORMAL,57.38,-1.717,62.86,0.0234017216888247,0.041761826192256005,-0.10378272912983758
2024-08-30,NORMAL,59.56,-1.593,63.34,0.02356523165310659,0.0420804989373343,-0.1076888936487655
2024-08-31,NORMAL,50.27,-1.601,61.91,0.02307747991994077,0.04113121876331603,-0.0882518012882785
2024-09-01,NORMAL,68.85,-0.007,65.62,0.02433900655806419,0.04359468385970538,-0.14083502933466924
2024-09-02,NORMAL,63.39,0.099,64.49,0.023956110018284942,0.04284412872300504,-0.08903487369543925
2024-09-03,NORMAL,70.49,0.089,66.49,0.024633006442729408,0.044172691122491226,-0.1516687947776165
2024-09-04,NORMAL,73.22,0.194,67.35,0.024922948243521387,0.044744185246976514,-0.159381170625457
2024-09-05,NORMAL,73.5,0.665,67.42,0.02494651852124836,0.044790708080192344,-0.13086764051695368
2024-09-06,NORMAL,84.43,0.892,73.05,0.026827747328176364,0.0485356438517894,-0.09708245552490022
