date,regime,ivp,z,dvol,covered_call,short_strangle_ps,long_straddle
2024-02-17,NORMAL,77.87,0.919,56.24,-0.07626370668716123,-0.060018589501729204,0.06592178656216963
2024-02-18,RICH,80.6,1.105,57.24,-0.03537053456866804,-0.01880889262523524,0.029630907428748354
2024-02-19,NORMAL,79.23,1.303,56.83,-0.10354614232040152,-0.08711440184877026,0.08994115363280636
2024-02-20,NORMAL,75.41,1.127,55.63,-0.10049287932385187,-0.08444033024459555,0.08750985433200578
2024-02-21,NORMAL,65.85,0.955,54.01,-0.0779419934764452,-0.06239897991173338,0.0677992201583314
2024-02-22,NORMAL,73.77,0.978,55.38,-0.09169443182931611,-0.07572069231077261,0.07975977545804899
2024-02-23,NORMAL,58.74,0.884,52.23,-0.12587137793846315,-0.1108851010541631,0.11095379420761023
2024-02-24,NORMAL,66.67,1.093,54.18,-0.15483080473854188,-0.13923444895830006,0.13618004662079078
2024-02-25,NORMAL,72.68,1.183,55.17,-0.1508977622622482,-0.13499017262035806,0.13235391609428554
2024-02-26,NORMAL,78.42,0.155,56.05,-0.07898184850447987,-0.06279675308159674,0.06836213272969813
2024-02-27,NORMAL,85.52,0.321,58.36,-0.028982985603984678,-0.012065593352215916,0.02390880008465987
2024-02-28,NORMAL,98.36,0.939,67.76,0.025060939363154785,0.0450166889288144,-0.05938431312472554
2024-02-29,NORMAL,96.45,0.548,65.54,0.02431193733723872,0.04354154025833855,-0.030652153103965796
2024-03-01,NORMAL,96.17,0.556,65.37,0.02425439578501283,0.043428613673181904,-0.048724263490348724
2024-03-02,NORMAL,96.45,0.593,65.82,0.02440665398524178,0.04372754759724525,-0.08532977315750709
2024-03-03,RICH,99.18,1.121,71.72,0.02638590595107717,0.04765036293627984,-0.14162262697861006
2024-03-04,RICH,99.73,1.433,74.81,0.027410017574905365,0.04970776525516356,-0.17540236833262832
2024-03-05,RICH,99.18,1.261,73.19,0.026874165112302527,0.04862885440682692,-0.17321887577938305
2024-03-06,RICH,99.73,1.423,74.85,0.027423219042575296,0.04973441290939947,-0.15631734882406717
2024-03-07,NORMAL,97.54,0.954,69.68,0.025705113705569653,0.0462932278690911,-0.1386352674331181
2024-03-08,RICH,98.63,1.164,71.87,0.02643581679302584,0.04775018709882109,-0.14019482842166758
2024-03-09,RICH,99.73,1.463,75.04,0.027485906669934664,0.049860994560509186,-0.16816883765779322
2024-03-10,RICH,99.73,1.919,80.12,0.029150199871141154,0.05324882014334967,-0.16466236049725866
2024-03-11,RICH,99.73,2.19,83.02,0.030090207430619912,0.055186033877929044,-0.1783681921371094
2024-03-12,RICH,99.18,1.705,78.08,0.028484579069997164,0.05188753307433756,-0.1565988514016349
2024-03-13,RICH,98.91,1.682,77.5,0.028294670032461725,0.051500706796119046,-0.09827234602989911
2024-03-14,NORMAL,97.81,0.642,74.58,0.02733408163177292,0.04955454872771276,-0.11828781711011058
2024-03-15,NORMAL,98.63,0.829,76.7,0.028032242233119186,0.0509672981676729,-0.13649392018776862
2024-03-16,NORMAL,98.36,0.301,75.73,0.02771329325153623,0.05032076011326921,-0.1483848636461613
2024-03-17,NORMAL,98.36,0.233,75.93,0.02777912380046701,0.05045404752530751,-0.10480097076590598
2024-03-18,NORMAL,96.72,-0.261,74.08,0.027168841687811977,0.04922151293771277,-0.12021647592354315
2024-03-19,NORMAL,98.36,-0.123,76.61,0.02800268390614024,0.050907300050302626,-0.15870799629991822
2024-03-20,NORMAL,98.91,-0.285,77.73,0.028370014058937913,0.05165409275061246,-0.13865444474936336
2024-03-21,NORMAL,97.27,-0.476,75.26,0.02755845243755511,0.050007573768152375,-0.16437963837088532
2024-03-22,NORMAL,95.36,-0.814,72.46,0.02663193750151707,0.048142876686643646,-0.15204383565028143
2024-03-23,NORMAL,95.63,-0.695,73.68,0.02703648992714178,0.04895512678607081,-0.154280699591152
2024-03-24,NORMAL,95.08,-0.805,72.62,0.026685069165953697,0.048249382081518175,-0.1704069316320778
2024-03-25,NORMAL,97.81,-0.062,76.25,0.02788437930208333,0.05066732825064109,-0.08010375537105034
2024-03-26,NORMAL,96.99,-0.073,75.39,0.02760130027405627,0.0500941943258297,-0.09582639407465822
2024-03-27,NORMAL,97.27,0.404,75.78,0.02772975419786343,0.05035408103048693,-0.06272527386338664
2024-03-28,NORMAL,97.81,0.521,76.53,0.027976403854355573,0.050853970130728524,-0.09101069186851933
2024-03-29,NORMAL,93.99,0.218,73.11,0.026847642802588532,0.0485755906851379,-0.05407815868275245
2024-03-30,NORMAL,95.63,0.403,74.93,0.027449617727858946,0.0497877093793411,-0.06500903597183336
